10,송악산 주차장,33.20647516,126.2900803,6.9,3
10,송악산 전망대,33.1985939,126.2939603,8.9,4
10,섯알오름예비검속희생자추모비,33.2056129,126.280576,11.4,5
10,하모해수욕장,33.21136044,126.2611696,13.8,6
10,제주올레11코스 공식안내소,33.2190227,126.2525814,15.6,7
10-1,상동포구,33.1754078,126.2702931,0,1
10-1,냇골챙이,33.16620679,126.2687124,1.6,2
10-1,가파초등학교,33.1691096,126.2703919,2,3
10-1,개엄주리코지,33.17417311,126.2741892,2.9,4
10-1,큰옹진물,37.9535884,124.6778869,3.4,5
10-1,가파포구,33.1648339,126.2725948,4.2,6
11,하모체육공원,33.218349,126.2522625,0,1
11,대정여자고등학교,33.229359,126.2528811,3,2
11,모슬봉정상,33.2384843,126.2580075,5.5,3
11,천주교대정성지,33.2541237,126.2611793,9.2,4
11,신평사거리,36.1193925,128.3603245,11.2,5
11,신평곶자왈,33.2742393,126.2593591,12.3,6
11,정개왓광장,33.28437717,126.2573479,14.1,7
11,무릉외갓집,33.2729143,126.2366038,17.3,8
12,무릉외갓집,33.2729143,126.2366038,0,1
12,신도생태연못 화장실,33.28131644,126.2035008,4.7,2
12,산경도예,33.2794229,126.1915961,6.5,3
12,신도포구,33.277016,126.1700443,9.5,4
12,수월봉전망대,33.295069,126.1634705,12.7,5
12,엉알길,33.29919082,126.1684287,13.3,6
12,차귀도포구,33.3095024,126.1649035,14.4,7
12,용수포구,33.3233514,126.1664098,17.5,8
13,용수포구,33.3233514,126.1664098,0,1
13,용수저수지,33.3171934,126.1876683,2.7,2
13,특전사숲길,33.32559162,126.1968423,4.4,3
13,고사리숲길,33.32925267,126.2174138,7,4
13,낙천의자공원,33.32769631,126.2258694,9.4,5
13,뒷동산아리랑길,33.33544814,126.2394258,12.3,6
13,저지오름,33.33401271,126.2506728,13.4,7
13,저지예술정보화마을,33.3336845,126.2560988,16.2,8
14,저지예술정보화마을,33.3336845,126.2560988,0,1
14,저지고망숲길,33.33584847,126.2541483,0.4,2
14,나눔허브,33.3442621,126.2484776,2,3
14,큰소낭숲길,33.346446,126.2495354,2.4,4
14,오시록헌농로,33.3893046,126.2266406,4,5
14,소낭쉼터,33.34757775,126.2369999,4.7,6
14,굴렁진숲길,33.3521908,126.2383885,5.5,7
14,월령숲길,33.35745208,126.2358394,6.3,8
14,무명천산책길 입구,33.35927702,126.2364439,6.5,9
14,새못교,33.3709406,126.2253965,8.4,10
14,선인장자생지 입구,33.1170436,126.2700266,10.1,11
14,월령포구,33.3784402,126.2163789,10.5,12
14,해녀콩서식지,33.38403977,126.2187852,11.5,13
14,금능포구,33.3903095,126.2286713,13,14
14,금능해수욕장,33.3898565,126.235364,14,15
14,협재해수욕장,33.3942945,126.2398813,14.6,16
14,협재어촌계복지회관 주차장,34.3505518,126.4762118,15.4,17
14,옹포리 명월포전적지,33.4004971,126.2552731,16.6,18
14,한림항도선대합실,33.418907,126.2627426,19.9,19
14-1,저지예술정보화마을,33.3336845,126.2560988,0,1
14-1,저지리알못,33.3279794,126.2700715,1.1,2
14-1,강정동산,33.3334317,126.2772302,2.7,3
14-1,저지곶자왈,33.3319927,126.2887132,4,4
14-1,문도지오름 입구,33.32835226,126.2959591,4.8,5
14-1,문도지오름,33.3262524,126.2958076,5.1,6
14-1,문도지오름 출구,33.32533799,126.2970359,5.4,7
14-1,오설록티뮤지엄 서광차밭,33.3059438,126.289437,9.3,8
15-A,한림항도선대합실,33.418907,126.2627426,0,1
15-A,영생이물통,33.42769707,126.2806908,3,2
15-A,선운정사,33.4293517,126.3071931,6.7,3
15-A,납읍숲길,33.43141679,126.3265749,9.6,4
15-A,납읍리난대림 화장실,33.4284054,126.3417831,11.2,5
15-A,고내봉 입구,33.4591265,126.3418004,15.1,6
15-A,고내포구 우주물,33.4674208,126.3376169,16.5,7
15-B,한림항도선대합실,33.418907,126.2627426,0,1
15-B,제주한수풀해녀학교,33.4428251,126.2786791,4,2
15-B,금성천 정자,33.44761707,126.3002938,6.8,3
15-B,애월초등학교,33.4650985,126.3229734,11.2,4
15-B,고내포구 우주물,33.4674208,126.3376169,13.5,5
16,고내포구,33.4674208,126.3376169,0,1
16,남두연대,33.4791943,126.358524,2.8,2
16,구엄어촌체험마을,33.48382825,126.3769968,4.8,3
16,수산봉,33.473855,126.3841261,6.6,4
16,예원동복지회관,33.46091518,126.3981415,9.7,5
16,항파두리 항몽유적지,33.45319686,126.4082997,11.7,6
16,광령1리사무소,33.46227011,126.4471246,15.8,7
17,광령1리사무소,33.46227011,126.4471246,0,1
17,무수천트멍길,33.47364862,126.4441523,2.5,2
17,외도월대 공중화장실,33.49282648,126.4363978,5.6,3
17,이호테우해수욕장,33.496152,126.45522,7.9,4
17,어영소공원 화장실,33.51822149,126.4876811,13.3,5
17,용연구름다리,33.5148865,126.5143684,16.1,6
17,간세라운지,33.51250272,126.5243091,18.1,7
18,간세라운지,33.51250272,126.5243091,0,1
18,사라봉,33.5180564,126.5460544,3.7,2
18,별도봉산책로,33.5187659,126.5484053,5.3,3
18,화북포구,33.5252237,126.567219,7.5,4
18,삼양해수욕장,33.5260277,126.5869144,10.5,5
18,닭머르,33.5365363,126.611795,14.5,6
18,연북정,33.540066,126.63616,18.5,7
18,제주올레19코스 공식안내소,33.540373,126.6399666,19.8,8
18-1,추자면사무소,33.9613537,126.2931626,0,1
18-1,봉글레산,33.9647414,126.2890991,1.1,2
18-1,추자등대,33.95527183,126.2966148,2.9,3
18-1,돈대산 정상,33.94822573,126.3230078,6.7,4
18-1,예초리 기정길,35.5415423,126.7786974,8.8,5
18-1,신양항,33.94482107,126.3289192,11.4,6
18-2,신양항,33.94482107,126.3289192,0,1
18-2,졸복산,33.93096815,126.3217222,2.5,2
18-2,대왕산,33.4549688,126.8696403,3.4,3
18-2,묵리슈퍼,37.1733739,127.2435331,5.4,4
18-2,추자대교,33.95328096,126.303214,7.9,5
18-2,추자면사무소,33.9613537,126.2931626,9.7,6
19,제주올레19코스 공식안내소,33.540373,126.6399666,0,1
19,신흥해수욕장,34.1836896,126.9078419,3.4,2
19,함덕해수욕장,33.5434231,126.6697752,6.3,3
19,너븐숭이4.3기념관,33.5459875,126.6887641,9.1,4
19,동복리마을운동장,33.5420371,126.7133784,13.5,5
19,김녕농로,33.55608996,126.7428892,16.3,6
19,김녕서포구,33.557768,126.745,19.4,7
20,김녕서포구,33.557768,126.745,0,1
20,성세기태역길,33.55922181,126.7626087,2.1,2
20,월정리해수욕장,33.5559739,126.7961709,6.9,3
20,광해군 기착비,33.55644616,126.8074729,8.3,4
20,제주구좌농공단지 입구,33.3623586,126.2475335,10.2,5
20,한동해안도로,33.5433573,126.8273724,12.2,6
20,평대리해수욕장,33.5099291,126.8271354,14.5,7
20,제주해녀박물관 전기차충전소,33.523525,126.863486,17.6,8
21,제주해녀박물관 전기차충전소,33.523525,126.863486,0,1
21,낯물밭길,33.52186157,126.8994932,1.2,2
21,별방진,33.5266056,126.8840271,3,3
21,석다원,33.5270996,126.8892479,4,4
21,토끼섬 입구,33.52186157,126.8994932,5.2,5
21,하도해변,33.5129078,126.8988182,6.7,6
21,지미봉,33.4992833,126.901947,9,7
21,종달리해변,33.4791521,126.8667686,10.8,8
