olleCourseId,olleSpotId,title,latitude,longitude,orders
15,123,산경도예,33.2794229,126.1915961,3
15,124,신도포구,33.277016,126.1700443,4
15,125,수월봉전망대,33.295069,126.1634705,5
15,126,엉알길,33.29919082,126.1684287,6
15,127,차귀도포구,33.3095024,126.1649035,7
15,128,용수포구,33.3233514,126.1664098,8
16,129,용수포구,33.3233514,126.1664098,1
16,130,용수저수지,33.3171934,126.1876683,2
16,131,특전사숲길,33.32559162,126.1968423,3
16,132,고사리숲길,33.32925267,126.2174138,4
16,133,낙천의자공원,33.32769631,126.2258694,5
16,134,뒷동산아리랑길,33.33544814,126.2394258,6
16,135,저지오름,33.33401271,126.2506728,7
16,136,저지예술정보화마을,33.3336845,126.2560988,8
17,137,저지예술정보화마을,33.3336845,126.2560988,1
17,138,저지고망숲길,33.33584847,126.2541483,2
17,139,나눔허브,33.3442621,126.2484776,3
17,140,큰소낭숲길,33.346446,126.2495354,4
17,141,오시록헌농로,33.3893046,126.2266406,5
17,142,소낭쉼터,33.34757775,126.2369999,6
17,143,굴렁진숲길,33.3521908,126.2383885,7
17,144,월령숲길,33.35745208,126.2358394,8
17,145,무명천산책길 입구,33.35927702,126.2364439,9
17,146,새못교,33.3709406,126.2253965,10
17,147,선인장자생지 입구,33.1170436,126.2700266,11
17,148,월령포구,33.3784402,126.2163789,12
17,149,해녀콩서식지,33.38403977,126.2187852,13
17,150,금능포구,33.3903095,126.2286713,14
17,151,금능해수욕장,33.3898565,126.235364,15
17,152,협재해수욕장,33.3942945,126.2398813,16
17,153,협재어촌계복지회관 주차장,34.3505518,126.4762118,17
17,154,옹포리 명월포전적지,33.4004971,126.2552731,18
17,155,한림항도선대합실,33.418907,126.2627426,19
18,156,저지예술정보화마을,33.3336845,126.2560988,1
18,157,저지리알못,33.3279794,126.2700715,2
18,158,강정동산,33.3334317,126.2772302,3
18,159,저지곶자왈,33.3319927,126.2887132,4
18,160,문도지오름 입구,33.32835226,126.2959591,5
18,161,문도지오름,33.3262524,126.2958076,6
18,162,문도지오름 출구,33.32533799,126.2970359,7
18,163,오설록티뮤지엄 서광차밭,33.3059438,126.289437,8
19,164,한림항도선대합실,33.418907,126.2627426,1
19,165,영생이물통,33.42769707,126.2806908,2
19,166,선운정사,33.4293517,126.3071931,3
19,167,납읍숲길,33.43141679,126.3265749,4
19,168,납읍리난대림 화장실,33.4284054,126.3417831,5
19,169,고내봉 입구,33.4591265,126.3418004,6
19,170,고내포구 우주물,33.4674208,126.3376169,7
20,171,한림항도선대합실,33.418907,126.2627426,1
20,172,제주한수풀해녀학교,33.4428251,126.2786791,2
20,173,금성천 정자,33.44761707,126.3002938,3
20,174,애월초등학교,33.4650985,126.3229734,4
20,175,고내포구 우주물,33.4674208,126.3376169,5
21,176,고내포구,33.4674208,126.3376169,1
21,177,남두연대,33.4791943,126.358524,2
21,178,구엄어촌체험마을,33.48382825,126.3769968,3
21,179,수산봉,33.473855,126.3841261,4
21,180,예원동복지회관,33.46091518,126.3981415,5
21,181,항파두리 항몽유적지,33.45319686,126.4082997,6
21,182,광령1리사무소,33.46227011,126.4471246,7
22,183,광령1리사무소,33.46227011,126.4471246,1
22,184,무수천트멍길,33.47364862,126.4441523,2
22,185,외도월대 공중화장실,33.49282648,126.4363978,3
22,186,이호테우해수욕장,33.496152,126.45522,4
22,187,어영소공원 화장실,33.51822149,126.4876811,5
22,188,용연구름다리,33.5148865,126.5143684,6
22,189,간세라운지,33.51250272,126.5243091,7
23,190,간세라운지,33.51250272,126.5243091,1
23,191,사라봉,33.5180564,126.5460544,2
23,192,별도봉산책로,33.5187659,126.5484053,3
23,193,화북포구,33.5252237,126.567219,4
23,194,삼양해수욕장,33.5260277,126.5869144,5
23,195,닭머르,33.5365363,126.611795,6
23,196,연북정,33.540066,126.63616,7
23,197,제주올레19코스 공식안내소,33.540373,126.6399666,8
24,198,상추자항,33.9623538,126.2972245,1
24,199,추자등대,33.95529401,126.2967728,2
24,200,묵리슈퍼,33.948255,126.3145612,3
24,201,신양항,33.428168,126.916371,4
24,202,동대산 정상,33.3785614,126.5661908,5
24,203,영흥쉼터,33.95998078,126.2961872,6
24,204,상추자항,33.9623538,126.2972245,7
25,205,제주올레19코스 공식안내소,33.540373,126.6399666,1
25,206,신흥해수욕장,34.1836896,126.9078419,2
25,207,함덕해수욕장,33.5434231,126.6697752,3
25,208,너븐숭이4.3기념관,33.5459875,126.6887641,4
25,209,동복리마을운동장,33.5420371,126.7133784,5
25,210,김녕농로,33.55608996,126.7428892,6
25,211,김녕서포구,33.557768,126.745,7
26,212,김녕서포구,33.557768,126.745,1
26,213,성세기태역길,33.55922181,126.7626087,2
26,214,월정리해수욕장,33.5559739,126.7961709,3
26,215,광해군 기착비,33.55644616,126.8074729,4
26,216,제주구좌농공단지 입구,33.3623586,126.2475335,5
26,217,한동해안도로,33.5433573,126.8273724,6
26,218,평대리해수욕장,33.5099291,126.8271354,7
26,219,제주해녀박물관 전기차충전소,33.523525,126.863486,8
27,220,제주해녀박물관 전기차충전소,33.523525,126.863486,1
27,221,낯물밭길,33.52186157,126.8994932,2
27,222,별방진,33.5266056,126.8840271,3
27,223,석다원,33.5270996,126.8892479,4
27,224,토끼섬 입구,33.52186157,126.8994932,5
27,225,하도해변,33.5129078,126.8988182,6
