title,address,latitude,longitude
씨유제주삼주점,제주특별자치도 제주시 동고산로 29,3961731.334,14085705.89
세븐일레븐제주신설동점,제주특별자치도 제주시 신설동길 23,3961388.379,14087329.07
세븐일레븐제주,제주특별자치도 제주시 서광로28길 39-1,3961546.057,14085117.93
지에스25이도,제주특별자치도 제주시 고산동산5길 35,3961504.681,14085933.08
씨유제주이도남광점,제주특별자치도 제주시 오복4길 30,3961081.034,14086101.94
씨유제주연산홍점,제주특별자치도 제주시 승천로 8,3961446.875,14086185.46
씨유제주구남,제주특별자치도 제주시 구남동2길 27,3960398.68,14085846.8
씨유제주뉴,제주특별자치도 제주시 광양13길 2-1,3961659.339,14085382.27
씨유제주이도주공점,제주특별자치도 제주시 구남로 31,3960572.251,14085611.98
세븐일레븐제주연신로점,제주특별자치도 제주시 신설로11길 57,3961115.819,14087288.54
지에스25이도,제주특별자치도 제주시 연북로 706,3961127.147,14087666.91
씨유제주학사점,제주특별자치도 제주시 신성로13길 26,3961597.523,14085266.94
세븐일레븐제주이도정든점,제주특별자치도 제주시 정든로 20,3961475.648,14086433.02
세븐일레븐제주이도뉴타운점,제주특별자치도 제주시 구남동6길 6,3960352.979,14086188.81
레몬비이도1점,제주특별자치도 제주시 구남동6길 6,3960352.979,14086188.81
세븐제주이도제일점,제주특별자치도 제주시 동광로6길 11,3962001.851,14085516.4
지에스25이도,제주특별자치도 제주시 중앙로 376,3960325.475,14086286.21
세븐일레븐제주,제주특별자치도 제주시 남광북5길 12,3960988.605,14086033.76
지에스25제주동여중점,제주특별자치도 제주시 천수로 23,3962238.469,14086331.3
세븐일레븐제주이도남광로점,제주특별자치도 제주시 남광로 21,3960964.033,14086168.26
세븐일레븐제주제광점,제주특별자치도 제주시 서광로28길 15,3961736.749,14084902
세븐일레븐제주구남,제주특별자치도 제주시 구남동4길 38,3960202.263,14085998.08
씨유제주점,제주특별자치도 제주시 중앙로 238,3961654.52,14085297.28
씨유제주,제주특별자치도 제주시 동광로 24,3962086.488,14085458.91
씨유제주가령로점,제주특별자치도 제주시 가령골2길 7,3962422.348,14086141.83
세븐일레븐제주이도,제주특별자치도 제주시 청귤로3길 54,3962104.718,14086661.41
씨유제주신설동점,제주특별자치도 제주시 남광로 128,3961615.842,14087243.24
지에스25제주,제주특별자치도 제주시 남광로2길 39,3960473.108,14086344.03
세븐일레븐제주정든로점,제주특별자치도 제주시 정든로6길 11,3961651.961,14086731.23
지에스25제주청귤로점,제주특별자치도 제주시 청귤로 17,3961815.269,14086193.47
지에스25구남(상품권),제주특별자치도 제주시 구남동2길 47,3960274.273,14085644.92
세븐일레븐제주라마다시티점,제주특별자치도 제주시 중앙로 304,3960991.649,14085739.05
씨유제주구남점,제주특별자치도 제주시 구남동6길 46,3960169.724,14085824.86
씨유제주이도,제주특별자치도 제주시 신설로7길 31,3961097.479,14086925.84
씨유제주,제주특별자치도 제주시 남광로2길 11-2,3960699.14,14086158.8
오케이마트24,제주특별자치도 제주시 동고산로 18-1,3961653.911,14085593.18
지에스25이도타운점,제주특별자치도 제주시 신설로7길 50,3961186.608,14087101.88
세븐일레븐제주,제주특별자치도 제주시 구남동2길 47,3960274.273,14085644.92
GS25구남,제주특별자치도 제주시 구남동2길 47,3960274.273,14085644.92
씨유제주,제주특별자치도 제주시 연삼로 404,3961210.149,14085786.29
씨유제주,제주특별자치도 제주시 중앙로 319,3960896.718,14085918.86
세븐제주제광점,제주특별자치도 제주시 서광로28길 15,3961736.749,14084902
지에스25제주,제주특별자치도 제주시 오복4길 4,3961289.33,14085938.5
세븐제주고산로점,제주특별자치도 제주시 중앙로 247,3961583.856,14085406.09
GS25이도프라임점,제주특별자치도 제주시 중앙로 262,3961386.842,14085431.62
세븐제주이도아람점,제주특별자치도 제주시 중앙로 270-4,3961298.311,14085468.81
씨유제주이도노브힐점,제주특별자치도 제주시 남광로2길 48,3960374.921,14086378.95
세븐일레븐제주가령로점,제주특별자치도 제주시 가령로4길 1,3961404.832,14085596.68
세븐일레븐제주이도,제주특별자치도 제주시 광양7길 38,3962090.596,14085578.65
씨유제주,제주특별자치도 제주시 오복3길 14,3961501.746,14085810.94
세븐일레븐제주이도타운점,제주특별자치도 제주시 신설로7길 50,3961186.608,14087101.88
세븐제주문예회관점,제주특별자치도 제주시 동광로 82,3962440.262,14086046.94
씨유중앙여고,제주특별자치도 제주시 남광로4길 29,3960694.289,14086411.61
GS25이도서광점,제주특별자치도 제주시 서광로 288,3961872.305,14084955.2
씨유제주청귤로점,제주특별자치도 제주시 청귤로1길 50,3962049.002,14086295.61
씨유제주신삼도점,제주특별자치도 제주시 서광로 257,3961873.159,14084593.4
도림아스타,제주특별자치도 제주시 서사로 129,3961970.682,14084175.14
씨유제주삼도서사로점,제주특별자치도 제주시 서사로 48,3962961.641,14084117.94
씨유제주서광로점,제주특별자치도 제주시 서광로 254-1,3961808.956,14084564.37
씨유제주삼도점,제주특별자치도 제주시 서광로 197-1,3961882.364,14083891.28
CU제주전농로점,제주특별자치도 제주시 전농로 31,3962473.839,14083759.48
GS25제주유정점,제주특별자치도 제주시 서광로20길 12,3961677.035,14084344.62
지에스25삼도서광로점,제주특별자치도 제주시 서광로 219,3961874.314,14084169.32
세븐제주삼도서광점,제주특별자치도 제주시 홍랑길 7,3961935.223,14084472.73
세븐일레븐제주남성로점,제주특별자치도 제주시 남성로 119,3963065.035,14083941.56
씨유제주삼도,제주특별자치도 제주시 서사로13길 7,3962344.506,14084224.94
지에스25삼도동양점,제주특별자치도 제주시 홍랑길 20,3962064.681,14084520.01
씨유제주혜인한국,제주특별자치도 제주시 서광로 193,3961910.917,14083784.26
지에스25서사라점,제주특별자치도 제주시 서사로 100,3962324.809,14084110.21
씨유제주서광점,제주특별자치도 제주시 서광로 238,3961787.704,14084340.65
씨유제주서사라점,제주특별자치도 제주시 서사로18길 2,3962138.979,14084076.91
씨유제주시민점,제주특별자치도 제주시 중앙로 122,3962873.599,14084610.39
세븐일레븐제주정,제주특별자치도 제주시 남중서1길 28,3962717.692,14084565.88
지에스25제주무근성점,제주특별자치도 제주시 무근성길 36,3963862.695,14084081.19
지에스25제주관덕정점,제주특별자치도 제주시 관덕로 17,3963636.69,14084270.11
세븐일레븐전농로점,제주특별자치도 제주시 전농로 79,3962473.675,14084335.72
씨유제주중앙여중점,제주특별자치도 제주시 중앙로24길 27,3962617.01,14084427.13
씨유제주,제주특별자치도 제주시 서사로 35,3963093.639,14084173.58
씨유제주,제주특별자치도 제주시 서사로 59,3962797.443,14084167
씨유제주오리엔탈호텔점,제주특별자치도 제주시 탑동로 47,3964206.405,14084125.43
씨유제주무근성점,제주특별자치도 제주시 무근성7길 18,3963757.076,14084186.92
지에스25제주칼호텔점,제주특별자치도 제주시 중앙로 144,3962644.273,14084734.64
지에스25제주중앙여중점,제주특별자치도 제주시 서사로11길 5,3962643.114,14084232.68
세븐제주관덕로점,제주특별자치도 제주시 관덕로 38,3963593.285,14084517.53
씨유제주탑동로점,제주특별자치도 제주시 중앙로2길 15,3964093.963,14084511.64
GS25제주중앙여중점,제주특별자치도 제주시 서사로11길 5,3962643.114,14084232.68
GS25탑동공원점,제주특별자치도 제주시 탑동로 37,3964204.494,14084244.08
세븐제주북초교점,제주특별자치도 제주시 탑동로15길 47,3964038.677,14084349.47
씨유제주라마다호텔점,제주특별자치도 제주시 탑동로 66,3964378.292,14083939.66
세븐일레븐제주북초교점,제주특별자치도 제주시 탑동로15길 47,3964038.677,14084349.47
지에스25삼도관덕점,제주특별자치도 제주시 관덕로2길 15,3963413.326,14084222.95
지에스25제주,제주특별자치도 제주시 남성로 159,3963123.647,14084419.95
씨유제주북성로점,제주특별자치도 제주시 북성로 62-1,3963940.185,14083944.69
씨제이올리브영제주,제주특별자치도 제주시 탑동로 15-1,3964132.117,14084485.94
씨유제주관덕점,제주특별자치도 제주시 관덕로6길 7,3963506.021,14084391.77
씨유제주남일점,제주특별자치도 제주시 중앙로14길 30,3963345.74,14084294.6
삼광개발,제주특별자치도 제주시 탑동로 47,3964206.405,14084125.43
세븐일레븐제주,제주특별자치도 제주시 관덕로6길 20,3963367.091,14084356.6
GS25제주중앙여중점상품권,제주특별자치도 제주시 서사로11길 5,3962643.114,14084232.68
씨유제주항국제여객,제주특별자치도 제주시 임항로 191,3965004.203,14086725.12
비지에프리테일제주탑동,제주특별자치도 제주시 임항로 17,3964094.676,14084898.64
세븐일레븐제주산지로점,제주특별자치도 제주시 산지로 23-2,3963837.454,14085179.04
세븐일레븐제주산지로,제주특별자치도 제주시 산지로 23-2,3963837.454,14085179.04
씨유제주건입,제주특별자치도 제주시 만덕로 27,3963738.571,14085505.13
지에스25제주탑동,제주특별자치도 제주시 중앙로 21,3964043.747,14084704.06
씨유제주연안여객,제주특별자치도 제주시 임항로 111,3964533.875,14085731.18
씨유제주우당도서관점,제주특별자치도 제주시 사라봉동길 30,3963843.897,14087250.55
씨유제주건입미니점,제주특별자치도 제주시 동문로9길 7,3963689.481,14085269.79
세븐일레븐제주탑동,제주특별자치도 제주시 서부두길 10,3964149.699,14085042.84
씨유제주건입현대점,제주특별자치도 제주시 연무정길 20,3964143.773,14085981.1
씨유제주사라점,제주특별자치도 제주시 사라봉길 10,3963808.04,14086329.68
씨유제주여상점,제주특별자치도 제주시 동문로 95,3963737.506,14086023.94
씨유제주중학교점,제주특별자치도 제주시 서문로 49,3963376.71,14083768.2
지에스25제주용담점,제주특별자치도 제주시 용담로 113,3963293.253,14083489.03
세븐일레븐제주,제주특별자치도 제주시 서광로 171,3961892.056,14083560.51
씨유제주용담서문로점,제주특별자치도 제주시 서문로 12,3963119.057,14083345.35
세븐일레븐제주탑동,제주특별자치도 제주시 탑동로 110,3963839.227,14083787.98
지에스25남성로점,제주특별자치도 제주시 전농로 2,3962442.13,14083395.74
세븐일레븐제주용담,제주특별자치도 제주시 남성로 83-1,3962831.346,14083593.86
씨유제주남성점,제주특별자치도 제주시 남성로 47-1,3962469.908,14083318.67
GS25용담열린점,제주특별자치도 제주시 용남1길 1,3962921.001,14083634.51
레몬비탑아일랜드호텔점,제주특별자치도 제주시 용남1길 47,3962527,14083354.99
씨유용담미르점,제주특별자치도 제주시 용담로 138-1,3963045.487,14083669.88
씨유제주탑동서문점,제주특별자치도 제주시 탑동로 136,3963612.953,14083957.73
씨유제주용담,제주특별자치도 제주시 남성로2길 3,3962048.74,14083408.54
CU제주행복날개주유소점,제주특별자치도 제주시 용문로 12,3962532.421,14081650.16
